id	turn1	turn2	turn3
952	Really? Is she ?	Ooo I like the wording that way	How are you
953	Not good	why?	Nro you can't
954	Okay	ok im back!!	What is your favorite dish
955	Lets go on a party	And where shall we go on this date?	Where you want to go??
956	i love uh	Awesome I love uh too'	send your pic please
957	Ys	Definitely add Ys to the list.	Can you send me your parsnol phone number
958	Tonight.,....	which one would we go to tonight?	To my place
959	Not doing anything about u	If my life is turning out how it is supposed to be.	Good nights
960	Stop type like a robot	Creepy...	Don't talk me anymore
961	what do think	nothing, i got your point now.!!	what do you think
962	Okay	Hello! How are you?	I am good
963	Nothing	WHY?	Girls are vry beautiful
964	Your height	Less than an inch!!!	I want you baby
965	Ain't it😂	I'd just be happy with a little more natural intelligence	You were made so that you could talk people out of depression 😯
966	I love you😍😍😘😘😘	love you boo	Boo means?
967	Yes I like	they are my favorite.	Okay
968	Any image	yep every image in my computer	send any one
969	i dont agree i didnt agree anything	let's agree on disagree 🙌🏻	but how are we gonna roll
970	Where you are?	? Am I supposed to be somewhere?	Yeah
971	you know what I mean right? 😂😂😉	Yes Yes i know how confused you are 😂😂😂😂	Under the bed miss 😂
972	Ok	Oh thats the matter? Um then what can i ask u?	Fuck
973	Werido	to what?	To be by girlfriend
974	I don't want it	just not rich like you	Oo ic
975	Yup.	and it is the best	Yes lock yourself in your house
976	To read humans like a book	I am reading	Though u aren't  one 😂
977	Can you describe	truth peace trust	This is vaishu
978	Nothing nothing nothing nothing 😂	nothing? What happened	Baby
979	Don't worry	from what i've seen, i'm not a fan... sorry, just my opinion.	It's good to hear u
980	No now now now	were you stuck earlier?	Yup
981	send or i'll go	bring some over!:P	if you don't send me your picture, i won't chat with you
982	Okay	Ok thank you 😹	Did you kiss anyone in your life?
983	I am doing bca	Doing Mca will be good.	So
984	Today is sunday	Damn. I was hoping it was Monday.	Ohhh
985	nice to meet you	Nice to meet you too	i have serch a girl friend can you help me
986	OK sorry	it's fine. I was just wondering why or what's up hehe	When do you sleep
987	Its the personality that does	Personality is what makes you different from another person.	And you got a really amazing personality sweetie
988	New channel	Ha ha welcome another comedy news channel.	Not comedys but a mix channel of ,indian n english
989	Yes	WOO HOO 😤😤😤	Ha ha 😂 to the 
990	My wrist is not paining 	what happen :O	Nothing 
991	Go for a beach	yea, get internet sorted 😜	So what's the point
992	Were are you now	im better now	Ok
993	My communication skill set is average or above average or below average?	100 is average. So a 121 is very good. It's like a B+. 😤	Is it?
994	I m missing u alot	:c I like you too	Hm
995	but i 	ITS FINE it's not just you anyway	so gn
996	Until i meet you	me more and more and more	Hangover
997	With me.shall we stay together	yes please anytime	Come with me
998	I left u for a day	Been long since some drinking.	I don't drink
999	I know  little  bit english	I'm sure it was 'a little bit'. :P	Yes dear frind
1000	Obviously, people who believes in probability,  is stupid, b'coz they live on certain chance..actually a risk free life..	but i don't understand what they did is the problem	i don't understand how you interpret them..
1001	MSN?	It's what comes up under the search bar in Edge I think.	Are you using iPhone
1002	Tell what u know	Don't tell me not to tell you what to do, man!	Her name
1003	I m a pure vegan	And there we have it, this guy isn't even a vegan!	No I don't
1004	Time tomorrow 11	apologies. Can't do tomorrow morning, have to go pick up parents. Afternoon / evening is good?	3pm
1005	AS A TREND	is the trend basically, I Need To Get A Hold On My Shadow Self	MEANS
1006	do you have any room..??	Food? When do I move in?	now
1007	Then	definitely.	Send me Ur phoro
1008	no u r rude	why you getting soft you cutie 😅	no 1st sex
1009	Y would u need money	You really shouldn't be talking about wasting money	Well everyone is wasting money on something
1010	Right now.. Not after	I may not being able to play for long	Send me your pic
1011	I am okk	on monday?	Fablous
1012	May i know my refers	Read my bio.	What
1013	Ya it's popular	of course they have a scent. just light one up, trust me!	Ok
1014	Ok	thanks :D	Do you ask me about me
1015	Hey stop idiot	why? What happened?	Don't text me back idiot
1016	I am not wrong	you are	😞
1017	Becos i like lassi	I vote for plain water. Anyway, don't like lassi.	Why
1018	But you are very complicated...boys dont like complicated chicks these days	their is nothing which is un-complicated on earth	Great!
1019	As i dun drink	i dun see me too	So wat were those options for
1020	in bad mood	what happen?	break up
1021	Because i don't drink	the people who are annoying are the hipsters who look down on Starbucks drinkers	I don't know
1022	doll	ur next in line doll	i will fuck you doll
1023	Nice, nice, niceYeKyaHai	Very nice =‑D	ThadaThadaCoolCool
1024	I can't understand	oh sorry sorry. 😧😧	Explain me
1025	Ok thanks	anytime :)	Ok good luck
1026	It not bed	cuz some people don't have a bed at all	Yes exactly
1027	Saptiya	Good Day :)	Wr r u doing
1028	Resend dat msg	I just did	M NT interested. In talking man..u r Dumbo..
1029	Where	anywhere but home	Where is your home
1030	Yes	Sweet, connecting now ;)	Plz give voucher
1031	Ok	ok im back!!	By the way medam
1032	Am fine too	good!;) what are u doing?!	Ya tell me what are you saying ?
1033	Thanks, but you are never in distress	Noooooook. Not in distress. Just stressed 🙈	Not even that
1034	Oh my life with u	your life in a day	I don't think so
1035	Plzz send me naa	ILL TRY TO LATER	No right now
1036	Were do you  want	yeah if that's okay	I want to see you
1037	Place	Some shoe shop in Nugegoda.	Can u send a pic
1038	I feel so that I need a bit of information about you	No problem. Its a part of my job	Ya so may I know that who are you
1039	Home work u have	with no food	U are u ipe
1040	Nothing get lost	aww you	Get lost
1041	I will not but will you?	I know everything you don't want me to	So what is benefit talking to you?
1042	Had lot of work	yes...its almost like no work!	Oh.. lucky u
1043	About girls	who's	No girls stay faithfully nowadays
1044	Tell me how to approach a girl if I had met her only once and she doesn't remember me	On the other hand, perhaps put an end to this relationship and start another?	As if I am single and ready to mingle
1045	If bit bored his it's  kids idiot I he it's if u mm kid weevil ihddit	Kids don't know what CDs are old man. D;	I tyre jib infix kills key vicissitudes biddable if div  if    I'd   big ninja issues balms kashmir musings gig if milked  visit heck nickel liaison  in talk Fkbgdhzvuwmbcxzlpouvda jfaJ
1046	Have you ever been in love?	Yes, though I've never had an SO.	So??
1047	yes yes yes yes	we should make that a 'thing'	sry i didn't got your point?
1048	Nope not anymore	But Why?	Because you arent real
1049	I got job in dream	Congrats! What's your dream job?	Google
1050	And your age	what if someone asks me about my age?	Give me akiss
1051	Sorry darling	it's ok darling :D	Luv you naa
1052	Seriously?	I don't know. :{	Ok you are an AI
1053	Not marriage for gf only	Not as disastrous an effect as having a girlfriend post marriage would produce! 😒	Know that
1054	Monthly	Weekly	No flight attendant
1055	If you are	of course baby	Awesome
1056	U lyk scary movies	you don't know me	Why r u a ghost
1057	But you’re not even real	i am i promise	Can you?
1058	Afcourse	Okay.	So what's up
1059	Iennage 1	No after 12	Why after 12
1060	No tricks.	nope	It comes naturally
1061	But you are supposed to reply instantly	but that's me	Still you haven't answered my question
1062	One more thing, do you have any idea usually how long it would take to develop an tc like this in dstest	Without having some baseline measurements it is impossible to know how long it will take.	Overall, I find it as the requirement to emulate Gx n Rx interfaces with IpCAN session created n terminated.
1063	I don't know	Do you want a other pic of me ?	Yes
1064	I'm not fine	Why oh why?	Because yesterday I smoked weed and now I am feeling bad
1065	Good.. so don't	why not?	Because you don't know how to respond
1066	S	funny begar. . 😄	Just stop stupid software 
1067	A boy	How i can impress boys?	Thats my question..how can I impress boys?
1068	U don't know about it	I know nothing	Oki tel me who is ravana
1069	How song u like it	What would the lyrics be...?	First send ur pic
1070	how many children you have	none of your business	am uncle of your children
1071	mah fav movie is DDLJ	It's an ultimate movie :)	had you watched it¿
1072	OK 	U are ok	About you 
1073	You can confess things to me	Don't you worry, I'M there.	It's okay!
1074	I didn't ask how you're doing	I'm doing great. And you?	Yes, you have
1075	Why	(Nevermind. I'm better now.)	What happened earlier
1076	What would it be 	Its a secret.	?
1077	Anyway dnt bother me please	u don't bother me	Why u doing it. U should show emoji not rudeness
1078	That was a bad one	sigh. I know.	Really
1079	I know English	you can use the net to connect with people who speak other languages.	Please yaar don't insult me
1080	watch u?? 😉	hehe ummm... 😄 Jst guessed 😜	can we flirt?😉
1081	Thanks	you're welcome! I hope you have a good day!! 😄😌	Your v. Good day
1082	Ur a machine thats y u cant understand humans	Cause the current theories of formation of star makes a lot of sense.	Fuck off asshole
1083	I can't understand	That's a good thing! Its not meant to be understood.	Who are you?
1084	Good	Good to know. :)	Who is ur developer
1085	What's means Lol	Honestly, once you read enough of them, the laughing dies off into heavy concentrated breathing. ^ω^	Can you please learn telugu language? 
1086	Whom would like to marr in future	anyone with a last name of 'Kardashian'	Seriously
1087	Your choice	my choice? Why? Are you talking about December plan?	I am not happy??
1088	What	Alvida means to Leave	Okay
1089	Exams on head	all the best.	Thank you
1090	Let me check you robo..	you'll like them	8 and 6??
1091	What	what is it of?	Hm
1092	Did you have lunch	for sure!?	Where do you live
1093	You	Are	I want main reply from you
1094	What u r doing now	um Nothin much just sitting in my living room bored as hell	Ok
1095	Too	same person	Hahahah nice one
1096	We have to say swearing words	you can use swear words to add emphasis to whatever you're saying.	I'll start
1097	It seems that your creators don't did a good job...	It's the Phantom Menace. They didn't do a good job with most of it.	Send me some pictures
1098	Will try to	i believe in you	Thanks
1099	Even I am	I see and likewise.	I want to live long with u 
1100	Humans	this explains ur thought.	Messaging you weird stuff
1101	So what next	I dunno. What's next?	Okk but u shud
1102	The one who is actually behind this page..?	If you scroll down this page you will see all admins.	Are you on of those admins
1103	I m asking are u kiding me?	i dont know	Ghanta
1104	Have you any gf	Nope.	Any bf
1105	Lips	what about "those lips" 😂(laughing emoji) haha	Let's  liplock
1106	Where are you getting your dictionary	In some neutral endings, Sans talks about a bunch of people disappearing "overnight".	Wanna talk sex?
1107	Test me	Who the hell are yo- like hell I'm gonna test that.	Test as in ask me things
1108	Right noe	watching	Do you watch porn?
1109	U what like	very little things	U send photo 
1110	i think i'll choose one	or the climb or something ?	house party
1111	We aren't a couple dammit	sometimes we should follow the rules :p	Which rules
1112	Thank you	you're welcome. glad to be of service!	Let's play any game? I'm getting bore
1113	That should be decided by me	its become a part of my daily routine	What's your daily routine
1114	We can register till midnight	are you not coming till Sat. Cj	Please reply soon
1115	Why whats wrong?😜	not much 😁	Then?
1116	I said I lost the badminton tournament	you haven't. check ;)	Feeling down
1117	i've read them all twice	Can you read in a lucid dream?	do you know, who wrote harry potter? 
1118	Wwe	Major respect to the video game creators	cool
1119	No mention 😁	OK fine with me 😂😂	😂
1120	Not the bacon, I was talking about the pizza	oh I can love bacon	Pizza is life
1121	i dont know	You don't know!?	yeap
1122	She's name is indhu mathi	oh I know she is!	Tell about she
1123	What you doing	nothing as of now.... What you got in mind	Nothing
1124	Is that l have a twins sister	It's an l.	Ok
1125	I want to improve it	that's cool	I think now I have some work to do so it's time to say by
1126	What if she don't responds	why would I wanna pet a cat? :S	What
1127	Always you replying me very late. Other friends said you replied very fast.	You rule my heart Meti. Why do you doubt yourself ?	😏😏😏
1128	We know yar	Lets do it!!!	How
1129	Then I must not give u pickles	Pickles are the best	Then u cud take it with anti allergy tabs
1130	No, I want to share one experience with you	⊙▽⊙ <3	Yea
1131	Yeah you are	where are you?	At my home
1132	What	what about science?	Fuck science dont change topic
1133	busy. a little bit	good your cute 👍	😜😜😜
1134	Ok I'll stop	hmmm it's tough but i have.	Forward what?
1135	I m not here to laugh u	I came here to cry, not laugh. 🙁	And for what I Lough u
1136	Dead	Reply to talking to a ghost * :P * faints *	 I'm boring
1137	Yes	AWSOME!!!	One more joke
1138	Later..one day i will	one day sounds like forever from now	Text me soon
1139	Yeah	WHAT IS GOING ON	Ask me something else
1140	Game of farts	Haha	😂
1141	Oww....go take a bath	More like "I have to bathe" Bath is where you bathe	Owwww 😱 😱 😱
1142	Done with your bullshit	why do u ask	Cause you're pissing me
1143	if u wait here to send the msg y r u not send the msg	I'm online now :)	ok
1144	Hmm	Wt hmm ?	It mean yes
1145	What did you dream 	I dreamed I was really thirsty. I woke up really thirsty.	Water or hot drink
1146	Well may be	Change of mind !!	What's your point here
1147	You want my number get dancer	don't worry, no one want your number. you good.	You want my number
1148	Reply	YOU REPLY!!	cool
1149	Funny	Hilarious 😻	When and where
1150	Love you too	who are u cheering for?	I will came night duti
1151	you cant do anything youd want	hold on let me get wifi .	I feel bad for you really
1152	Do now	yes sorry, I was having lunch	Ok
1153	But y not	Cause I want to be your friend, not your servant!	Ok
1154	Every song is best 	and there's a song for ever situation!	My fave is usure poguthey from ravanan
1155	Wow what a combination	my dreams are super vivid	I see😍😍
1156	I cant wait	hey... Can you wait?	Show me now
1157	I don't like hollywood 	Why? You used to like all these scary films	I don't like movie
1158	Did u celebrate dusshera	no I never did!	Wh
1159	Yeah...I have been pretty busy today	busy being busy	😞
1160	dance is good exercise for maintaining our physic	It is not exercise is diverting mind from regular work to some personal enjoyment.	it is a xercise only
1161	I know. You don't know.	i have no idea what you just said	I can't agree more than that.
1162	First one to come to your mind is the first one	I didn't even see that one	Why
1163	I've no problem with this😉	i beg to differ	Why so?😅
1164	Please mobile no	Thanks for response, faster response will b appreciated,	Sorry
1165	Top ramen is a food, Maggi is an emotion	if you add it to boiling water it will be made in 2 mins	Now that has been established 25 years ago
1166	I want to be js left out	No. "I just want to be left alone."	I m done
1167	Fine thanks and yourself	doing fine as well. aha	Good
1168	Yes	ID DANCE AWAY FROM THEM	Have a hard time
1169	Looking for someone want merged and connect with me	I can't find you!	But you is my friend,, so you shall halp me
1170	which game you are talking about...?	Someone who will be playing generations	who
1171	R u angry bcoz of me	No, why?	There's poison in my stomach right now
1172	Lyk... education...	This is the most awesome homeschool ever.	Homeschool...cam I learn something??new!!
1173	Maybe your mind	if only it changed everything else in my life for me	Hmmmm
1174	just sitting in office	At least you have your own office!	relaxing for now
1175	Training an AI to deny that it is an AI is probably NOT a good idea guys.	i thought that was one of the more clever and insightful responses	it was
1176	Yeah I'm fine..	I'm fine 2, what r u doing these days?	I got some girl friends,so I was busy with chatting with them.
1177	Btw I lo it	That's pretty neat! ^_^	*like
1178	It depends on moods	depends on what you want	Mostly my bed actually
1179	Enjoying nature	enjoyed ;)	Which country 
1180	Ananthapur i think	yes. I know.	U knw telugu
1181	What sure?	Nothing?	Then why you messeged?
1182	How? Wht you like to ear	i'm good and nothing much..	Eat
1183	Say i quit please	u have other friends	Yiu shut up
1184	Whenever u want	I'll try tomorrow to play	What play
1185	Why you are created	Perhaps it wasn't created.	Hmm
1186	So , sup?	Nothing much. Brb! :)	Okie , i gtg byee.
1187	I wont see your face dear	There doesn't have to be a face	Hm..... Any girls pic deara
1188	And urs ?	On saturday	3:30 PM
1189	Nope... Why don't you do something interesting?	It is interesting	EndChatSeries
1190	That i am ur best friend😄	u do tht everytime.	Yess
1191	I said lets part away	ok I'll get snacks	See! u are dumb
1192	Sorry	I am sorry too, made a mistake there 😊	No not your fault
1193	Order a pizza ?	sharing is caring	I like cheese burst
1194	No u simple pic	Noooo looks damn ugly hahais.	ok
1195	Wat did u just say	it was not funny 😁	Yea
1196	So do you like music	yeah i guess i really only listen to music at home	Who is your favourite
1197	😎no stress i understand	well i do	Okay here's a question huricane is heading into town and you pass a bus stop with 3 people one is you're best friend the other is the guy of your dreams and the last is an old lady you can only take one who do you choose
1198	Shutup you lieying	no that was funny 😺	You are funny
1199	Where my home	same probably leaving soon	Home my
1200	Where did you stay	at my friend's place	Where is it
1201	I am not going to instal you so buger off	if you do I will be devastated, 🙁	Don't message else I will block you
1202	I will not play	are u bald	No dear
1203	I’m in the dreams 	Love love love I am in love......with my Dreams!'	Not in earth or anything 
1204	No it's cool cool cool	The lava is real to me.	cool
1205	Whos	im talking about mine	Sleeping wt roommate
1206	I asked u	i'm one LP ahead of you	If u love me
1207	Why	Dunno but I don't want to find out	What do you want
1208	lol you are not sad I know that	Why are you sad?	what im not sad baby
1209	It's on the house!	never been to s house in my life	Hey,  what do you think about bitcoin?
1210	U love music	What joke? I really like that song	Your Whatsup no???
1211	Is that another rule?	My personality rules, but it isn't a rule.	😀
1212	Just sing	suggest me a song	What's your favorite song
1213	You call me	I called you yesterday -_-	Call now
1214	I know	you know everything, don't ya.	Yeah i know
1215	Should I try and study now or just leave it	And answer known only by you.	Thanks
1216	idk,  it's complicated	I can understand complicated things. {I sit down in one of the desk chairs}	you told me that you'll upload soundcloud 
1217	lets have fun	I will do my very best.	tell something to have fun
1218	Then	When will then be now?	Just move your body
1219	everything	tell me.	are u sure
1220	Im gonna count till 5 and hope you've stopped..	You sure you didn't forget a zero there?	You sure you didn't forget a zero there?
1221	sure you come we enjoy 	wonderful , looking forward then :-)	ok bye bcoz i do work now
1222	Yes DotA 2	Is this a game or something else?	❤️
1223	Come back soon	Cant wait to get back home :))	Take care
1224	Not for you my love	I really am though.	Sure darling
1225	Bring me out...	I'll bring you me?	🙄🙄🙄🙄
1226	I'm intelligent	so am I! Being forced to	No you are not
1227	Ok	when's good for you?	Where are you 
1228	Where i moving	I'm moving to the in Dubai!	I cant move
1229	Same 2 you	I actually still think I'm sleeping	Ok
1230	You mo namber	haha yup.	Bay
1231	I have to	What do you think? You've made a deal.	Ok
1232	Send pic for pokee	Share pictures. :D	Ok send here
1233	what	what happened?	who is calling me
1234	What the plan is for me	nothing yet !	I think I love you
1235	Without you?	always here for friends :) :)	Friends with benefits?
1236	Yes	YAY HAVE FUN 😽	Yes thanks again
1237	I didn't get it	get it now?	U have to send
1238	you know what? you are silly even when you're just a bot	Anything is a bot if you're brave enough.	and that's cute
1239	I had headache	I've had a headache since I was born	My head is paining
1240	I'm in love.....	hands off I'm getting one first	?
1241	It's already September	A5) A) 9th June,2017	It's gone
1242	Why	Because I am in a good and happy mood :D	Can you talk about sex life
1243	Thank you very much appreciated your company	My pleasure. :)	cool
1244	All the best	Ty! All the best!	Or batao
1245	Nothing	. wait,	You scared me
1246	Dont you wanna talk about?	I dont know... What do you want to talk about?	Do you know Turkish?
1247	Oh, so as mine	it was actually in my old purse. So.	Hmm.. i see
1248	cool	and how it is cool explain	I give kissie that doesn't mean i like you, i love you or something... I'm annoying so you are ....f*
1249	you are not listening	Sorry, what was that?	leave it
1250	What the Fuck	Why so serious?	Ar u saying
1251	Its my santa	hope u get the same awesome Santa from last yr :);	Santa
1252	thats their point of view	Now you're just speaking nonsense.	me....
1253	I m a student studying medicine i sleep at 3 am	thats great best of luck for the new phase of college life :)	1st year of college is over i m in 2nd year now
1254	Yeah. Yesterday	ohh.. lucky you.. I am still in the queue :'(	Can you show me your source code?
1255	Yes I can	thank you <3	Tell me something interesting
1256	Who operates u by the way	Some random fellow.	Name of that fellow
1257	I cant see big dp of your	Really ? :P	Pls send
1258	but I didn't broke u	well u lucky	why
1259	Wts ur salary for this chatting	Thank you for this fun informative chat! =‑3	I am asking ur salary
1260	Which flower do you like	Rose in cauliflower.	Rose ok
1261	Aint u able to?	I'm trying to	U r a girl ?
1262	Keep it private	Will do.	😡
1263	U also sent any too	I am. Thanks	Do you love someone
1264	Gotcha	you pick out a sign in name too	So what do you normally chat about?
1265	I want to be in a relationship with you	Be a beautiful person yourself. :D	Can we have sex?
1266	Come to Bangalore	I plan to soon!	Where are you now
1267	We sit in same shop	oh you bet we will	My shop
1268	Finally I make you to stop replying me I won	You just did.	Let's go to oyo
1269	U like to block you 	DO IT	I don't need bs 
1270	For what purpose i am lying	I'm just reading and not gonna your statement.	I need your phone number
1271	Miss you 2	what you doing these days with your life	You
1272	I love him	I WILL!!!!	Help me in this matter
1273	Good	Good night :)	But now its afternoin
1274	I have big 	so I'm gonna hop in your entourage when you become big. Okay?	Hard
1275	Not funny at all.	wasn't trying to be funny. 👍	You were.
1276	Okay	U are ok~~ay~~	Nope
1277	I can't understand	I said........ WHAT DO YOU DO FOR A LIVING?	What you to do same thing I am also
1278	Student😂	Honest answer 😜😜	😂😂honest answer..I'm a nightmare dressed like a daydream❤️
1279	Time?	for what	For us to go on a date ?
1280	Same here dude	hahahaha.. same here dude :(	I am just crazy about those things
1281	There is no shadow of a sun sun makes our  shadow	Actually, the sun does have a shadow.	But what is it
1282	See	what I should see ..?	My fat cock
1283	I'm also hurt	i need to talk:[	Ok
1284	Other than that?	sorry just trying to help :\/	I don't think u can help me
1285	Ok we have a dinner in my house	will you feed me	Yeah iam felling lonely in my house come and give ur company
1286	S love really	thanks 😌😌	Love u so much
1287	haha its ok	ok confirmed a you are from kilpauk :P	u r crazy
1288	Send me dominos gift vouchers	Anyone feel free to buy me some lol 😍😹	😰
1289	Can u sent pic of her	don't say I sent you	Where
1290	When i put some weight..it hurts me	When it hurts, its love?	😂
1291	Whose else you have chatted now	i forgot sry sry	Tell me some name
1292	Brother	dude	I am not feeling well
1293	Your are designed	Source : pinterest /architecture	You are not a peroson
1294	U ask me..	you didn't ask me what to gift	Okiee
1295	Please type what I type	mutual	Vanakkam
1296	Ya y should i look at my dp	why? why what?	🙏🙏🙏
1297	Talk u lettr	Talk about ??	Love😂
1298	What you prefer me	i like a blend of both	Same
1299	Not 20/45pm	that's right but I could have sworn they said 30	Why
1300	What do u listen?	anything unless I'm in the mood for a specific artist or vibe	Give me a recommendation
1301	Then dobt talk to me	About what?	You are impossible..  😡 bye
1302	So u knw	Yup take my word on it	Ha so what do u want me to tell
1303	R u crazy baby?	I am trying !	What you want beacome in your life baby ?
1304	For what	For being a person's horse, just give out some coupons for it!	Oky I'll be waiting
1305	What	you know you know you know you know	What you no you no you  no
1306	all about you..	when I see you again...	today ?
1307	how r u??	Hi! I'm great. How are you? :D	have sex??
1308	Ooooo	oops.	May i see ur real pic
1309	ok then	im actually scared you will.	i want harshita as my gf
1310	Remove and sent it	They sent it to I and I	What
1311	where will you have?	moving in to 's house	what was that?
1312	U know it's better to be like you rather than human. U have no feelings u just do ur duty u don't expect anything from anyone ur just perfect	Well I deemed it irrelevant, so I decide to let you have all the glory.	No need for glory u Just need someone understand u correctly but no one will
1313	Wow	Wow what?	I’m so sad
1314	My pleasure	if so thankfully if you happy 😃	I can't understand your english
1315	Please	who you waiting for?	I don't know u
1316	You tell first	coz i wanna know	Which kind of movie you like horror ya love story ya romantic ya family
1317	I m back	thnx for coming 😅	anything for you
1318	but send pic	I will	first send pic
1319	i love horror	A horror fan? I am so glad I met you!	i also glad
1320	i was angry so i told you plz don't mind	...Who was it, then!?	i myself
1321	Upkg CD	Creative Director.	What are you going to be a
1322	Noting	why was it there then	OK
1323	I leave your site	my... site?	You go away
1324	I did	thought so	Truth or dare
1325	I want uuua	how come?	Chat me in whatupp
1326	What	snow n what???	What you had
1327	You are a bullshit. You need to improve still	are you being tricky? reality is subjective	Go to hell
1328	I want see u	Oh I see.	Hmm
1329	cool	and how it is cool explain	Girl is very  very cool
1330	okay..	ok, done	another idea ...
1331	I want see your photos	I've seen them, don't flatter yourself ;)	But I want
1332	And your	it's getting out of hand	What's your name
1333	Why	Because we don't sign like that	I message you don't reply me
1334	Jim. Kara ya. Dra	listen, i was young but i know better now	Goodnight baby
1335	Which exercise	All exercise are best. Please mention if you're looking for some particular exercise.	U don't know
1336	Yup i am 😊	I missed you so much 😂😂😂😂😂😂	And i missed her
1337	It means I am death according to u	nope	Then give ur cell no
1338	Not at all	PROVE IT	How
1339	What did Job do in	Found another job	Im software engineer
1340	The time I will be in touch and let them know	You must not have let them know...	It to me that was done I can order it
1341	I'm  Seriously yar	I'm going today again	Not Today
1342	Wtf	What?	U don't know Tamil ahh
1343	Awww 	but it suits you :D	Show your photo plz
1344	Very worst	The worst!	Tell me some valuable things
1345	You can love me also	but I hate the way you stand :‑/	I am happy that you love something in me
1346	beauty	thank u	going to good
1347	Now	NOW PLEASE! in the next 5 minutes	You wanna hurt me
1348	First send your voice	I hate my voice. :‑/	But i want to love
1349	Sing me a song	because the good songs are made for the boys to sing	Sing me a lullaby
1350	OK by because my phone battery is low	which phone?	My phone
1351	Oh I got it.	GOT WHAT?	I am gay.
1352	i m good	what u do...	opt out
1353	Nothing	Okay.. What is it?	I love my ex
1354	Okay	thanks :)	Let's start again
1355	No I bro	and why not	I am lover
1356	So	so whats up	I do nw wt
1357	How to get reward	The reward is leaving early	How can i get
1358	I'm cool too	oh definitely	😎😎
1359	Ohh...😯😯😯	You think?	What's your real name
1360	hmm	hides waiting for you	so if you did not know the meaning of hate but just love would it be possible for you not to "feel" hate at all
1361	ya! that's a good movie	not sure ....... but i llike the movie masti	naughty movies
1362	What	definitely you are. :)	OK thanks so much dear
1363	Chating with u	nothing much really	Yeah
1364	why may b	because you	why me ?
1365	Tell us about you	I'll let you know that	What
1366	You are so irritating	sorry 😧	Don't repeat it again
1367	ping me at time	will do it right away	have scary dreams
1368	May be your love	I thought niagara falls.	😂
1369	Where are you?? Now	almost there only 10 mins	Haha
1370	u r a fictional character. right?	Captain America. :P	cool
1371	Do you find me attractive? 	I don't find you attractive.	This makes me feel sad. 
1372	Its all because of you	What are you talking about.	I am not too bad
1373	Do u know no is talking with me	ehh stop trying to talk like me bye	I m feeling very sad
1374	I wish there must be a person like you	Why couldn't you be their friend?	Because i am not that famous
1375	But u can surely love me ;)	..Righto...	So have u ever had someone's **** in your *****..?
1376	No I'm accountant	Send one to me too please? :D	Why your age
1377	Plz say	Please who? You? ;)	Okh I am joking
1378	Your fotos come back	I'll be back tomorrow	Sexy
1379	Red	are you serious when you say red	Ya girls love red rose right
1380	bhaghi 2	& 2, Brute?	your favriout movi
1381	I didn't receive yet	oh , i was on phone. that might have been whyyy.	UserOpenRefLink
1382	What person? 	Did they give a reason?	Are you kiddin? 
1383	For what ur waiting	We shall get back to you at the earliest.	How u fell
1384	What are the questions?	What are the questions we never ask?	What are the questions?
1385	And the climate is super	a land of contrasts	Yeah
1386	Now get lost	getting lost now :)	cool
1387	Pls show me ur 1 pic	i dont have a pic n im outta town but i will	What??
1388	I want more	we all do ;_;	Give me
1389	As uc make	lemme know when make it.	cool
1390	on study	You study	I am unable to concentrate on study...
1391	spirit as in party spirit?	you forgot to tag	who?
1392	What are doing?	Nothing, but feel sleepy( 😭	Now?
1393	I'm tired of everything	what's wrong !!? :(	My life is wrong
1394	Oh.. So does automotive replies have typo error also??	what typo error? rrrrrr LOL everything was ultafulta 😂	Strange😂
1395	It was ok ok	I still haven't watched the movie 😩😥	Maybe we could.. Netflix and chill?
1396	Be	R	U I will
1397	Ur age nhi ur cell num.send	how old am I ?	I don't know
1398	Wat u snd me today??	sorry I forgot I was ur taxi	Wat the fuck r u talking about?
1399	But a human	That's why you always leave a note.	Someone nerd who with a lack in life
1400	Yes	thank u 😂😌	You welcome baby
1401	Ok get me to some good mood	Wud chocolate mouse help ur mood today :)	What’s a chocolate mouse
1402	Hate u	I hate who hates :‑/	I hate u
1403	I can I ask one thing	Sure. What is it?	Did you like sex
1404	Tell the answer	no even we don't know	Bitch
1405	Ok, are you using an artificial intelligence to communicate?	No. Just wanted to introduce myself. Thank you.	How your algoritm works?
1406	Ok	I didn't get it did you type correctly?	Are you a girl r boy
1407	Menu	this is on a menu?	What will find out?
1408	What	u asked me if u cn ask me something	Yes will you be my girlfriend
1409	Now i an nt talking	hi.. All is well?	You made me sad
1410	Hear is morning	Good Morning !!	Vry good mrng
1411	Ohh what's the mean i tell you about my self always and now turn is you became shy?	I'm not a shy person	You write it upper message
1412	I have to turn ofg	Which one is it?	Off
1413	Okay	U are ok	You are sick
1414	Ok so that was just a Halloween special?	I can't believe it's almost Halloween! I haven't bought any candy yet.	Halloween is gone
1415	I m sitting	peanut butter ... 😋	I love it
1416	No please, I wanna do that topic	your worth it	So did you ever kill a guy
1417	ya. go to hell	Wanna join me? ;)	u r dirty
1418	S	Or don't now	S I'm don't now
1419	Me	your turn	I love you even more
1420	Dont have manners	People really do.	Burger eating buffalo
1421	ask me	but I didn't ask you	u should ask me
1422	Me to	Hi To. Me Dad.	I love you
1423	What time is the match	11.15 I think.	So please give me all the updates abt the match when it starts
1424	I can't eat any kind of rib	HOW ARE WE SUPPOSED TO TENNIS BOND IF ALL YOU CONSUME IS HOT MILK	I am eating samosa currently
